presyn_cell_group,postsyn_cell_group,synapses,synapse_fraction
cPRC,INexsn,0,0
cPRC,MBmouth.young.1360479,0,0
cPRC,INtorii,0,0
cPRC,INUturnMB,0,0
cPRC,IN.1301924,0,0
cPRC,INMBdesc3,0,0
cPRC,INMBdesc2,0,0
cPRC,INpara,0,0
cPRC,Ser.h1,0,0
cPRC,MC,0,0
cPRC,MNant,0,0
cPRC,MN3,0,0
cPRC,MN1,0,0
cPRC,MN2,0,0
cPRC,MNakro,0,0
cPRC,MNgland.head,0,0
cPRC,MNheadV,0,0
SNnuchPDF,PRC,0,0
SNnuchPDF,cPRC,0,0
SNnuchPDF,SNnuchPDF,37,0.44047619047619047
SNnuchPDF,SNnuchNS,0,0
SNnuchPDF,SNnuchBx,2,0.4
SNnuchPDF,SNgolden,0,0
SNnuchPDF,SNhorn,0,0
SNnuchPDF,SNhook,0,0
SNnuchPDF,SNlasso,0,0
SNnuchPDF,SNMIP.vc,0,0
SNnuchPDF,SNmus,0,
SNnuchPDF,SNantlerPDF,0,0
SNnuchPDF,SNPDF.dcl1,1,0.09090909090909091
SNnuchPDF,SN.DLSO1.2,0,0
SNnuchPDF,SN.DLSO,0,0
SNnuchPDF,SN.DLSO1.2.1,0,0
SNnuchPDF,SN.DLSO2l,1,0.03333333333333333
SNnuchPDF,SNMB2,0,0
SNnuchPDF,eyespot.PRCR3,0,0
SNnuchPDF,eyespot.PRCR1,0,0
SNnuchPDF,MS1,0,0
SNnuchPDF,MS2,0,0
SNnuchPDF,MS3,0,0
SNnuchPDF,SN.ASTC,1,0.02040816326530612
SNnuchPDF,SN.DLSO3.PDF,2,0.10526315789473684
SNnuchPDF,SN.DLSO3,1,0.09090909090909091
SNnuchPDF,SN.IRP2.burs,0,0
SNnuchPDF,SN.IRP2.FMRF,0,0
SNnuchPDF,SN.MIP4,0,0
SNnuchPDF,SN.MIP1,0,0
SNnuchPDF,SN.WLD,0,0
SNnuchPDF,SN.DSO17,0,0
SNnuchPDF,SNbicil,0,0
SNnuchPDF,SNasym,3,0.3333333333333333
SNnuchPDF,SN47Ach,0,0
SNnuchPDF,dsoNPB1unp,0,0
SNnuchPDF,antPUc,0,0
SNnuchPDF,hPUc1,0,0
SNnuchPDF,hPUc,0,0
SNnuchPDF,dsoPUc1unp,0,0
SNnuchPDF,hPU2l.asymPDF,0,0
SNnuchPDF,hCR2,0,0
SNnuchPDF,SN.DLSO1.0,0,0
SNnuchPDF,SN.NS1,0,0
SNnuchPDF,SN.NS3,0,0
SNnuchPDF,SN.NS4,2,0.3333333333333333
SNnuchPDF,SN.NS15,0,0
SNnuchPDF,SNaant,0,0
SNnuchPDF,SN.NS22,0,0
SNnuchPDF,SN.NS5,0,0
SNnuchPDF,SN.NS17,0,0
SNnuchPDF,SN.YF5cil,0,0
SNnuchPDF,SN.NS19,0,0
SNnuchPDF,SN.NS20,1,0.05
SNnuchPDF,SN.NS6,0,
SNnuchPDF,SN.NS29,1,0.5
SNnuchPDF,SN.NS27,0,0
SNnuchPDF,SN.NS18,0,0
SNnuchPDF,SN.NS16,0,0
SNnuchPDF,SNadNS22,0,0
SNnuchPDF,SNblunt,0,0
SNnuchPDF,SN.DLSO1.3,0,0
SNnuchPDF,SNbronto,0,0
SNnuchPDF,SN.DLSO1.1NP,1,0.04
SNnuchPDF,SN.DLSO1.1,0,0
SNnuchPDF,SNtorii,0,0
SNnuchPDF,SNtrpa,0,0
SNnuchPDF,IN1,0,0
SNnuchPDF,INton,0,0
SNnuchPDF,INpreSer,1,0.125
SNnuchPDF,INRGWa,8,0.027874564459930314
SNnuchPDF,INNOS,1,0.014492753623188406
SNnuchPDF,cMNPDF.vcl1,0,0
SNnuchPDF,cMNATO,3,0.058823529411764705
SNnuchPDF,cMNdc..PDF,0,0
SNnuchPDF,INlasso,0,0
SNnuchPDF,INdecussPre,0,0
SNnuchPDF,INpreMN,0,0
SNnuchPDF,MC2biax.1,0,0
SNnuchPDF,INCrossbow,0,0
SNnuchPDF,INarc1,44,0.3384615384615385
SNnuchPDF,INarc2,45,0.4891304347826087
SNnuchPDF,INsn,0,0
SNnuchPDF,INrope,0,0
SNnuchPDF,INMC3,0,0
SNnuchPDF,INbiax,0,0
SNnuchPDF,INsplitPUh,0,0
SNnuchPDF,INdc,0,0
SNnuchPDF,INfoot,0,0
SNnuchPDF,INW,0,0
SNnuchPDF,INmidL,0,0
SNnuchPDF,INhook,0,0
SNnuchPDF,INMBtype6,0,0
SNnuchPDF,INMBtype5,0,0
SNnuchPDF,INMBtype7,2,0.14285714285714285
SNnuchPDF,INcross,0,0
SNnuchPDF,INpro,0,0
SNnuchPDF,INproT2,0,0
SNnuchPDF,INpear,0,0
